,Population,People with a High School Diploma,People with a GED,People with an Associates,People with a Bachelors,People with a Masters,People with a Doctorate,Income,Income Per Capita,Employed,Unemployed,Median House Construction Year,Average Rent,Average Cost of Rent plus Utilities,Average Value of an Owner Occupied Home,Average Monthly Housing Expense for a Homeowner with a Mortgage,Employment Male Computer Engineering and Science Occupations,Employment Male Computer and Mathematical Occupations,Employment Female Computer Engineering and Science Occupations,Employment Female Computer and Mathematical Occupations,Name,county,state,Tech City in 2017
3103,2118119.0,197949.0,35229.0,122087.0,460158.0,207754.0,37018.0,83571.0,46316.0,1202593.0,523576.0,1978.0,1241.0,1379.0,446600.0,2271.0,116677.0,78969.0,34354.0,19846.0,"King County, Washington",033,53,Yes
2319,788459.0,79217.0,20542.0,42480.0,150503.0,67046.0,10973.0,60369.0,34848.0,446855.0,202242.0,1966.0,957.0,1094.0,330900.0,1799.0,22233.0,11363.0,8986.0,3915.0,"Multnomah County, Oregon",051,41,No
299,1911226.0,172224.0,21547.0,89662.0,351778.0,220693.0,47562.0,106761.0,48689.0,1026078.0,497226.0,1973.0,1859.0,1955.0,829600.0,3081.0,136646.0,82007.0,42697.0,24561.0,"Santa Clara County, California",085,06,Yes
280,1495400.0,195780.0,28365.0,96992.0,196514.0,67958.0,10702.0,60239.0,29693.0,732447.0,441684.0,1979.0,981.0,1122.0,299900.0,1781.0,33405.0,18424.0,14057.0,9097.0,"Sacramento County, California",067,06,No
2629,1176584.0,114085.0,21586.0,44460.0,240380.0,96203.0,17028.0,68350.0,38820.0,676509.0,258705.0,1990.0,1004.0,1172.0,275800.0,1851.0,49460.0,30173.0,14960.0,8613.0,"Travis County, Texas",453,48,Yes
2778,1892004.0,248198.0,56207.0,93741.0,208782.0,84743.0,12814.0,53999.0,26158.0,940458.0,512231.0,1984.0,786.0,942.0,142300.0,1369.0,31804.0,18580.0,11004.0,6344.0,"Bexar County, Texas",029,48,No
