,Population,People with a High School Diploma,People with a GED,People with an Associates,people with a Bachelors,People with a Masters,People with a Doctorate,Income,Income Per Capita,Employed,Unemployed,Median House Construction Year,Average Rent,Average Cost of Rent plus Utilities,Average Value of an Owner Occupied Home,Average Monthly Housing Expense for a Homeowner with a Mortgage,Employment Male Computer Engineering and Science Occupations,Employment Male Computer and Mathematical Occupations,Employment Female Computer Engineering and Science Occupations,Employment Female Computer and Mathematical Occupations,Name,county,state,Tech City in 2015
2969,2045756.0,200955.0,35340.0,118760.0,425117.0,183123.0,33019.0,75302.0,41664.0,1155495.0,507338.0,1977.0,1084.0,1204.0,384300.0,2196.0,104002.0,69120.0,31318.0,17813.0,"King County, Washington",033,53,Yes
2233,768418.0,82029.0,18646.0,40698.0,137230.0,61150.0,9951.0,54102.0,31544.0,432755.0,197258.0,1965.0,847.0,964.0,278300.0,1729.0,19817.0,9907.0,7542.0,3139.0,"Multnomah County, Oregon",051,41,No
228,1868149.0,170779.0,21635.0,90475.0,330869.0,199599.0,43627.0,96310.0,43880.0,992372.0,486145.0,1973.0,1616.0,1705.0,698600.0,2943.0,123134.0,70248.0,37398.0,21066.0,"Santa Clara County, California",085,06,Yes
219,1465832.0,186165.0,28279.0,92923.0,184008.0,61344.0,9891.0,55987.0,27315.0,720070.0,425780.0,1978.0,911.0,1036.0,248400.0,1739.0,31282.0,17254.0,13572.0,8606.0,"Sacramento County, California",067,06,No
2749,1121645.0,105688.0,21293.0,41719.0,217271.0,86065.0,16481.0,61451.0,35168.0,638174.0,247695.0,1988.0,886.0,1054.0,237100.0,1749.0,44497.0,26434.0,13499.0,7393.0,"Travis County, Texas",453,48,Yes
2537,1825502.0,234536.0,54475.0,86596.0,195958.0,77664.0,11703.0,51150.0,24735.0,908244.0,488390.0,1983.0,727.0,876.0,129400.0,1321.0,29193.0,16797.0,10106.0,5570.0,"Bexar County, Texas",029,48,No
